,item_id,amount,currency,Şəhər,Marka,Model,Buraxılış ili,Ban növü,Rəng,Mühərrik,Yürüş
851,7973855,295555,USD,Bakı,Land Rover,Range Rover,2024,"Offroader / SUV, 5 qapı",Qara,4.4 L / 530 a.g. / Benzin,0 km
852,9514157,33000,USD,Bakı,Lexus,RX 300,2019,"Offroader / SUV, 5 qapı",Qırmızı,2.0 L / 248 a.g. / Benzin,60 000 km
853,9499860,46900,USD,Bakı,Avatr,11,2025,"Offroader / SUV, 5 qapı",Çəhrayı,1.5 L / 314 a.g. / Plug-in Hibrid,0 km
854,9516840,21500,USD,Bakı,Toyota,Corolla Cross,2025,"Offroader / SUV, 5 qapı",Ağ,2.0 L / 196 a.g. / Hibrid,0 km
855,9516679,14500,AZN,Bakı,LADA (VAZ),Niva,2015,Sedan,Qara,1.7 L / 80 a.g. / Benzin,173 000 km
856,9341986,19700,USD,Bakı,Changan,Uni-V iDD,2025,Sedan,Yaş Asfalt,1.5 L / 325 a.g. / Plug-in Hibrid,0 km
857,9517322,5500,AZN,Bakı,Mercedes,C 280,1994,Sedan,Göy,2.8 L / 193 a.g. / Benzin,267 458 km
858,9517284,52000,AZN,Gəncə,DAF,105 XF,2011,Dartqı,Ağ,12 L / 460 a.g. / Dizel,1 350 000 km
859,8904645,48500,USD,Bakı,Toyota,Highlander,2024,"Offroader / SUV, 5 qapı",Yaş Asfalt,2.5 L / 249 a.g. / Hibrid,0 km
860,9509798,10500,AZN,Salyan,LADA (VAZ),Niva,2014,"Offroader / SUV, 3 qapı",Göy,1.7 L / 80 a.g. / Benzin,146 000 km
861,9516487,2300,AZN,Şirvan,LADA (VAZ),2107,1995,Sedan,Qırmızı,1.6 L / 73 a.g. / Benzin,53 000 km
862,9366509,20500,AZN,Bakı,Chevrolet,Malibu,2018,Sedan,Ağ,1.5 L / 160 a.g. / Benzin,219 000 km
863,9239679,25200,AZN,Bakı,Kia,Forte,2020,Sedan,Ağ,2.0 L / 150 a.g. / Benzin,92 600 km
864,9198097,44500,AZN,Bakı,Kia,Sorento,2020,"Offroader / SUV, 5 qapı",Yaş Asfalt,2.2 L / 202 a.g. / Dizel,138 000 km
865,9516591,9300,AZN,Bakı,Opel,Astra,2004,"Hetçbek, 5 qapı",Qara,1.4 L / 90 a.g. / Benzin,430 000 km
866,9517013,6800,AZN,Şamaxı,LADA (VAZ),2107,2008,Sedan,Göy,1.6 L / 75 a.g. / Benzin,50 000 km
867,9510388,26200,AZN,Bakı,Changan,Qiyuan A05,2025,Sedan,Yaş Asfalt,1.5 L / 215 a.g. / Plug-in Hibrid,0 km
868,9473367,38900,AZN,Bakı,Toyota,Land Cruiser Prado,2012,"Offroader / SUV, 5 qapı",Ağ,2.7 L / 163 a.g. / Benzin,142 300 km
869,9408603,22500,AZN,Sumqayıt,Hyundai,Santa Fe,2008,"Offroader / SUV, 5 qapı",Gümüşü,2.0 L / 184 a.g. / Dizel,170 000 km
870,9475713,20800,USD,Bakı,Changan,Deepal SL03,2025,Liftbek,Qara,1.5 L / 258 a.g. / Plug-in Hibrid,0 km
871,9482380,38999,USD,Bakı,Land Rover,Range Rover,2015,"Offroader / SUV, 5 qapı",Ağ,3.0 L / 306 a.g. / Dizel,107 000 km
872,8307723,69900,AZN,Bakı,MG,Marvel R,2024,"Offroader / SUV, 5 qapı",Qara,290 a.g. / Elektro,0 km
873,9483410,21500,AZN,Bakı,Lexus,IS 250,2009,Sedan,Ağ,2.5 L / 208 a.g. / Benzin,112 000 km
874,9472603,57100,USD,Bakı,Li Auto,L9,2025,"Offroader / SUV, 5 qapı",Gümüşü,1.5 L / 449 a.g. / Plug-in Hibrid,0 km
875,9383542,37500,AZN,Bakı,Changan,Uni-K iDD,2023,"Offroader / SUV, 5 qapı",Ağ,1.5 L / 316 a.g. / Plug-in Hibrid,15 700 km
876,9516963,19900,USD,Bakı,Mercedes,E 220 d,2015,Sedan,Qara,2.1 L / 170 a.g. / Dizel,258 000 km
877,9286185,19900,USD,Bakı,Changan,Deepal S7,2025,"Offroader / SUV, 5 qapı",Yaş Asfalt,1.5 L / 238 a.g. / Plug-in Hibrid,0 km
878,9299483,13900,USD,Bakı,Changan,Qiyuan A05,2025,Sedan,Ağ,1.5 L / 190 a.g. / Plug-in Hibrid,0 km
879,9467382,36200,AZN,Bakı,Mercedes,Sprinter 515,2008,Furqon,Boz,2.2 L / 150 a.g. / Dizel,166 000 km
880,9458101,3600,AZN,Bakı,Tofas,Sahin,2004,Sedan,Qara,1.6 L / 92 a.g. / Benzin,45 000 km
881,9489978,10900,AZN,Xırdalan,Volkswagen,Touareg,2004,"Offroader / SUV, 5 qapı",Ağ,3.2 L / 241 a.g. / Benzin,186 000 km
882,9439559,54900,AZN,Bakı,GWM,Wey 03,2025,"Offroader / SUV, 5 qapı",Göy,1.5 L / 383 a.g. / Plug-in Hibrid,0 km
883,9494121,45900,AZN,Bakı,BMW,530,2018,Sedan,Ağ,2.0 L / 249 a.g. / Benzin,124 000 km
884,9515168,3800,AZN,Qazax,LADA (VAZ),2107,2004,Sedan,Yaşıl,1.6 L / 75 a.g. / Benzin,93 000 km
885,9456376,47500,USD,Bakı,Mercedes,EQC 400 4MATIC,2022,"Offroader / SUV, 5 qapı",Qara,408 a.g. / Elektro,24 500 km
886,9465687,48800,AZN,Bakı,Hyundai,Santa Fe,2018,"Offroader / SUV, 5 qapı",Qara,2.0 L / 240 a.g. / Dizel,131 000 km
887,8760089,35500,USD,Bakı,Land Rover,RR Velar,2017,"Offroader / SUV, 5 qapı",Ağ,2.0 L / 250 a.g. / Dizel,111 000 km
888,9320717,40000,AZN,Bakı,Kia,Sorento,2019,"Offroader / SUV, 5 qapı",Yaş Asfalt,2.0 L / 184 a.g. / Dizel,163 412 km
889,9517320,22900,USD,Bakı,Land Rover,Range Rover,2007,"Offroader / SUV, 5 qapı",Boz,3.6 L / 272 a.g. / Dizel,348 000 km
890,9240662,27900,AZN,Bakı,Kia,Ceed SW,2018,"Universal, 5 qapı",Qara,1.6 L / 136 a.g. / Dizel,175 000 km
891,9516753,6400,AZN,Gəncə,LADA (VAZ),2107,2010,Sedan,Yaş Asfalt,1.6 L / 75 a.g. / Benzin,91 948 km
892,9510350,60000,USD,Bakı,BMW,X6 M,2018,SUV Kupe,Göy,4.4 L / 575 a.g. / Benzin,53 600 km
893,8997176,72900,AZN,Bakı,FAW,Tiger VN,2024,Yük maşını,Ağ,2.3 L / 118 a.g. / Dizel,0 km
894,7562095,44500,AZN,Bakı,MG,4 EV,2023,"Hetçbek, 5 qapı",Ağ,204 a.g. / Elektro,0 km
895,9395819,53500,USD,Bakı,Toyota,Highlander,2025,"Offroader / SUV, 5 qapı",Qara,2.5 L / 249 a.g. / Hibrid,0 km
896,9469244,23500,AZN,Bakı,Chevrolet,Equinox,2019,"Offroader / SUV, 5 qapı",Göy,1.5 L / 170 a.g. / Benzin,46 000 km
897,8882071,22990,USD,Bakı,Changan,Uni-Z,2025,"Offroader / SUV, 5 qapı",Açıq yaşıl,1.5 L / 215 a.g. / Plug-in Hibrid,0 km
898,9517313,35000,USD,Bakı,Toyota,Land Cruiser Prado,2013,"Offroader / SUV, 5 qapı",Gümüşü,3.0 L / 190 a.g. / Dizel,220 000 km
899,9404653,24500,USD,Bakı,Harley-Davidson,CVO Convertible,2017,Motosiklet,Boz,1900 sm3/ 98 a.g. / Benzin,17 800 km
