,amount,city,marka,model,year,type,color,distance,motor_volume,horse_power,motor_type,is_outlier
2479,18700.0,Şirvan,Mercedes,Vito 115,2006,Minivan,Ağ,298000,2.2,150,Dizel,False
2480,56780.0,Bakı,BMW,X5,2015,"Offroader / SUV, 5 qapı",Qara,136000,3.0,258,Dizel,False
2481,36550.0,Bakı,Mercedes,E 200,2013,Sedan,Göy,150000,2.0,184,Benzin,False
2482,4200.0,Zaqatala,Volkswagen,Bora,1999,Sedan,Qırmızı,256000,1.6,110,Benzin,False
2483,24900.0,Bakı,Changan,CS 15,2020,"Offroader / SUV, 5 qapı",Qırmızı,22000,1.5,105,Benzin,False
2484,91630.0,Bakı,Li Auto,L7,2025,"Offroader / SUV, 5 qapı",Qara,0,1.5,449,Plug-in Hibrid,True
2485,19800.0,Sumqayıt,Ford,Transit,2010,Furqon,Qara,279000,2.2,140,Dizel,False
2486,17700.0,Bakı,Chevrolet,Malibu,2016,Sedan,Ağ,174000,1.5,160,Benzin,False
2487,7000.0,Cəlilabad,LADA (VAZ),2107,2008,Sedan,Qara,20642,1.6,73,Benzin,False
2488,36900.0,Bakı,Kia,Sorento,2015,"Offroader / SUV, 5 qapı",Yaş Asfalt,110000,2.0,186,Dizel,False
